a: 100e6:0:0     :0: -17.61464:0:1.55e20
b:-100e6:0:0     :0:17.61464:0:1.55e20
c:0:-100e6:0     :-17.61464:0:0:1.55e20
d:0:100e6:0      :17.61464:0:0:1.55e20
e: 100e6:0:10     :0: -17.61464:0:1.55e20
f: 100e6:0:20     :0: -17.61464:0:1.55e20
g:-100e6:0:30     :0:17.61464:0:1.55e20
h:0:-100e6:40     :-17.61464:0:0:1.55e20
j:0:100e6:50      :17.61464:0:0:1.55e20
k: 100e6:0:60     :0: -17.61464:0:1.55e20
l: 100e6:0:70     :0: -17.61464:0:1.55e20
u:-100e6:0:80     :0:17.61464:0:1.55e20
y:0:-100e6:330     :-17.61464:0:0:1.55e20
t:0:100e6:230      :17.61464:0:0:1.55e20
e: 100e6:0:350     :0: -17.61464:0:1.55e20
r: 100e6:0:540     :0: -17.61464:0:1.55e20
q:-100e6:0:7540     :0:17.61464:0:1.55e20
w:0:-100e6:6450     :-17.61464:0:0:1.55e20
v:0:100e6:470      :17.61464:0:0:1.55e20
aa: 100e6:0:330     :0: -17.61464:0:1.55e20
ad: 100e6:0:240     :0: -17.61464:0:1.55e20
ba:-100e6:0:540     :0:17.61464:0:1.55e20
ca:0:-100e6:760     :-17.61464:0:0:1.55e20
da:0:100e6:860      :17.61464:0:0:1.55e20
aad: 100e6:0:640     :0: -17.61464:0:1.55e20
as: 100e6:0:450     :0: -17.61464:0:1.55e20
bs:-100e6:0:3450     :0:17.61464:0:1.55e20
cds:0:-100e6:4750     :-17.61464:0:0:1.55e20
dsw:0:100e6:840      :17.61464:0:0:1.55e20
agf: 100e6:60:770     :0: -17.61464:0:1.55e20
ate: 100e6:60:550     :0: -17.61464:0:1.55e20
ber:-100e6:60:330     :0:17.61464:0:1.55e20
cfg:0:-100e6:4560     :-17.61464:0:0:1.55e20
dhg:0:100e6:30      :17.61464:0:0:1.55e20
auk: 100e6:50:0     :0: -17.61464:0:1.55e20
afg: 100e6:450:0     :0: -17.61464:0:1.55e20
btry:-100e6:450:0     :0:17.61464:0:1.55e20
crt:0:-100e6:540     :-17.61464:0:0:1.55e20
dgh:0:100e6:350      :17.61464:0:0:1.55e20
adfg: 100e6:70:80     :0: -17.61464:0:1.55e20
